,Karisuma 14,SMASHADELPHIA 2017,ALPHA,Midwest Mayhem 9,Umebura 27,UNLOCKED,Albion 2,TGL Presents: Divided,2GGC: Arms Saga,Evo 2017,DreamHack Atlanta 2017,Get On My Level 2017,IGX - International Gaming Expo,Low Tier City 5,Smash Factor 6,Sumabato 19,Umebura 28,Super Smash Con 2017,2GGC: SCR Saga,Dubai Dojo 2,Shine 2017,PAX Arena at PAX West 2017,2GGC: West Side Saga,DreamHack Montreal 2017,Showdown: Battle Royale 2,Sumabato 20,Syndicate 2017,GameTyrant Expo 2017,The Big House 7,2GGC: Fire Emblem Saga,Sumabato 21,DreamHack Denver 2017,Who's Your Pappy #10,Umebura 29,Canada Cup 2017,Clutch City Clash 2,TGL & PG Present: Too Hot to Handle,2GGC: MkLeo Saga,GatorLAN Fall 2017,Port Priority 2: Midwest Invasion,IBP Masters Showdown,Sumabato 22,Umebura 30,Super FamiCon 2017,Tech Republic III,Midwest Mayhem 10,Rikabura 8,2GGC: Last Chance Qualifier,2GG Championship
Biddy,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YuCas,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Das,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,
Captain L,,,,,,,,,,,,,,,,,,,25th,,,,,,,,,33rd,,,,,,,,,,13th,,4th,,,,,,,,,
Ramzy,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akashic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,
Day,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
RosaGetsFit,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJG,,,,,,,,,,,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,
Candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,49th,,,,,,,,,,,
SMOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
colinies,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiheita,2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chanshu,,,,,,,,,,33rd,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,2nd,,,,,,,
Kurry,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,
Dr. Copter,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ksev,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megafox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th,,,,,,,,,,,,,
TSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,
CoNo,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
SoCalGohan,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
Egaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,
Dakpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,
Legit,,,,,,,,,,,,,,,,,,17th,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,
Nom,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,
